74334,15435,2946,784,499,499,434,136,67,36
71606,19539,3029,2957,693,1405,975,1261,494,549
85776,13993,3024,1804,911,759,889,118,110,60
108891,3241,1302,848,4940,679,2875,1112,584,952
95483,7201,1620,3482,1482,1543,289,161,103,88
115152,7334,2506,1297,556,505,428,200,134,160
89418,5285,1783,3024,774,339,373,172,193,145
99276,6054,1987,4059,840,670,546,190,96,89
111850,4311,2360,3170,712,711,456,191,91,60
100516,10242,2424,1278,3514,716,609,130,77,55
77521,4732,1634,2470,14869,790,1182,250,138,88
95868,6507,11453,2141,6668,331,715,127,62,54
97250,12546,6386,2289,1658,548,945,197,155,113
104854,11776,2508,913,810,1279,718,155,127,85
91026,15668,3743,1431,1236,1399,792,193,99,124
101803,14357,8986,4865,6499,1815,641,554,256,343
45475,4592,1821,1003,785,436,241,183,135,88
62837,6928,3100,2715,1062,1840,497,285,248,143
79445,5411,4807,4712,8740,2306,2003,540,313,285
89296,11089,12052,7099,4478,5355,5999,1116,875,736
116232,14891,16358,9146,3745,2237,2116,382,302,260
84834,26055,9252,6646,2605,2075,1198,1210,1687,980
124715,12764,4125,3977,2613,1508,2114,1091,970,1180
77040,22734,3854,9591,2329,1815,956,494,272,233
95741,8264,3950,9950,7676,1642,1288,604,490,305
94156,16261,23927,8197,3297,5927,3439,521,222,291
92933,10190,3051,12682,17258,2768,1844,279,229,150
96555,9503,4715,5174,2885,1434,698,557,335,245
102185,19515,6158,5087,2476,1669,873,469,361,256
72981,13803,4562,8528,2414,1284,722,289,251,245
81302,30544,8975,6178,3870,2250,1302,473,322,208
100920,26487,29020,7414,2161,4127,2988,599,511,429
84708,39508,24386,7052,3408,3101,2224,412,277,266
79295,21164,9091,8286,3415,2342,1323,489,294,264
123110,23517,6722,6932,2874,3239,1133,1408,1272,1349
98075,32659,9166,4989,2533,2467,903,328,259,202
97305,17845,4247,9067,9144,3051,2756,443,291,172
134171,16227,9203,7266,4881,2729,1286,640,322,266
122300,12769,6174,6972,13720,2107,2970,360,301,225
109437,11547,12232,6773,5243,4205,1730,348,263,270
93827,17405,10810,11206,4620,3813,2310,298,257,216
76693,16178,12782,17318,14628,9967,6647,694,429,403
68528,10084,2791,23835,17476,2529,2592,611,285,320
107200,14585,8903,2784,3315,2552,1849,1018,1052,1631
77535,12037,7364,2619,3250,2158,1811,1477,1590,1548
84733,18873,4557,7277,5384,3981,1349,661,435,582
88403,17552,9269,3488,4377,2562,1358,658,501,638
73666,23048,4546,10214,8341,9887,1789,288,164,128
110633,10666,3721,10835,15370,2164,3400,328,227,149
82181,23932,16798,6996,10770,11036,4200,493,348,287
76608,7635,2187,17019,21391,1973,2610,402,273,193
93107,12499,2373,4552,4442,2568,893,342,252,143
121305,16466,3220,5749,2833,2987,1245,864,667,721
91285,31081,24843,9376,2755,8164,2584,408,269,151
86206,26988,23942,3097,2659,7719,5507,634,236,203
85257,11203,5233,4910,4027,3044,1919,914,521,538
80408,26699,5913,3967,3206,3362,4064,1825,1115,1386
105275,13095,5308,9770,15687,2125,3079,311,194,252
96685,10757,4378,4036,3487,1051,2049,306,256,236
91665,12736,7157,7176,5052,1872,2057,266,218,200
88615,27541,15117,4952,2655,5310,2483,469,334,217
122975,8078,3472,2846,1685,900,1309,975,539,654
122689,13277,3839,2031,1410,871,1034,555,382,205
101650,24365,15199,3879,2573,4561,2608,202,129,91
69581,30688,18890,7661,3500,5441,4382,211,160,151
81079,49464,22024,3354,2310,7156,2238,495,329,245
86543,35085,7056,9768,2410,8089,3365,199,167,130
94148,43818,5637,2792,1600,9603,3672,346,308,233
101216,17800,8185,3446,4002,1455,1579,444,503,365
54198,16585,4163,3664,1806,1116,563,460,262,386
82815,9771,2356,5155,1232,539,830,330,269,273
105840,9055,4516,5099,1662,974,1503,490,362,365
70403,12469,6251,3054,3363,755,758,823,334,347
63609,14913,5068,3998,1339,777,520,366,269,230
113818,8096,2828,3169,1591,739,566,379,365,231
100271,11336,2641,4171,1330,827,446,352,182,139
83771,13556,4155,3642,1195,1049,826,358,231,203
85869,8035,4218,3420,1371,1315,769,921,406,281
98068,8956,2566,3032,1021,495,327,294,174,136
94194,10175,3376,2554,1375,489,407,311,197,140
91386,12712,3247,1541,1261,648,324,237,126,132
58549,3792,1129,459,428,123,91,47,14,19
44716,1170,395,105,120,23,27,12,0,5
37157,655,323,45,35,7,4,4,0,0
22117,57,38,5,6,0,0,0,0,0
5242,15,4,24,137,501,143,41,15,9
32829,2170,2113,149,2167,120,1090,1078,244,236
28660,2818,318,654,1003,371,363,111,43,40
10596,1000,282,75,27,22,39,54,3,0
13137,3603,2302,94,192,252,1064,818,360,381
9625,1077,173,179,94,308,790,391,386,297
4789,1749,132,592,101,332,68,103,11,0
36953,1744,1458,279,3225,886,589,239,19,23
24591,9429,5919,1189,1025,766,476,70,5,4
11416,4577,124,668,1484,278,111,144,9,0
20376,7716,330,873,190,35,38,45,41,34
10801,3491,612,457,152,108,60,84,9,22
6389,1528,146,342,122,123,60,79,10,0
20221,13384,3389,778,390,413,413,130,59,50
54441,6424,2912,1120,417,813,324,138,53,38
18208,6449,2802,421,205,323,219,115,62,42
31114,10461,3861,4483,550,679,605,1005,860,475
62122,8533,1104,2311,1445,1513,490,154,71,54
25275,9267,4259,941,1032,531,524,230,144,137
54428,16231,1466,10009,4718,1954,2188,134,81,60
67496,15339,9438,1082,1044,1050,1034,159,102,93
30698,3983,2977,10093,12820,1500,1497,68,69,45
33362,11432,12333,2903,1213,3258,1278,193,193,158
